exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
500.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.940000
1000.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.610000
2500.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.190000
5000.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
7500.000000	0.970000	1.000000	1.000000	1.000000	1.000000	0.000000
10000.000000	0.860000	0.660000	1.000000	1.000000	1.000000	0.000000
12500.000000	0.740000	0.690000	1.000000	0.990000	1.000000	0.000000
15000.000000	0.720000	0.790000	1.000000	0.980000	1.000000	0.000000
20000.000000	0.570000	0.640000	1.000000	0.960000	1.000000	0.000000
25000.000000	0.470000	0.660000	1.000000	0.970000	1.000000	0.000000
